origin,destination,operator,date,hour,month,day_of_week,scheduled_departure,mins_late,cancelled
London Kings Cross,Leeds,LNER,2024-11-27,18,11,Wednesday,1815,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-24,15,9,Tuesday,1545,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-24,18,2,Saturday,1845,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-11,17,2,Sunday,1730,4,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-26,17,12,Thursday,1745,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-01,12,5,Wednesday,1215,13,False
London Kings Cross,Leeds,LNER,2024-10-24,12,10,Thursday,1215,5,False
London Victoria,Gatwick Airport,Southern,2024-12-02,5,12,Monday,0515,12,False
London Kings Cross,Leeds,LNER,2024-01-28,7,1,Sunday,0715,4,False
London Waterloo,Southampton Central,South Western Railway,2024-12-05,21,12,Thursday,2100,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-01,7,12,Sunday,0715,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-03,22,8,Saturday,2230,6,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-11-17,17,11,Sunday,1715,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-31,17,12,Tuesday,1715,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-02,19,7,Tuesday,1915,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-01-22,20,1,Monday,2015,12,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-09,10,5,Thursday,1000,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-13,12,8,Tuesday,1230,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-08,18,3,Friday,1800,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-15,19,12,Sunday,1900,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-25,18,10,Friday,1815,1,False
London Victoria,Gatwick Airport,Southern,2024-10-04,18,10,Friday,1800,1,False
London Kings Cross,Leeds,LNER,2024-04-13,21,4,Saturday,2145,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-12,19,10,Saturday,1945,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-15,7,7,Monday,0745,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-04,9,7,Thursday,0930,6,False
London Victoria,Gatwick Airport,Southern,2024-12-01,1,12,Sunday,0145,7,False
London Victoria,Gatwick Airport,Southern,2024-04-25,15,4,Thursday,1530,68,False
London Waterloo,Southampton Central,South Western Railway,2024-03-27,10,3,Wednesday,1045,4,False
London Victoria,Gatwick Airport,Southern,2024-05-10,7,5,Friday,0745,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-22,8,12,Sunday,0815,8,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-30,17,9,Monday,1700,0,False
London Kings Cross,Leeds,LNER,2024-06-08,20,6,Saturday,2000,4,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-22,7,4,Monday,0730,3,False
London Victoria,Gatwick Airport,Southern,2024-04-05,19,4,Friday,1900,1,False
London Waterloo,Southampton Central,South Western Railway,2024-04-13,21,4,Saturday,2100,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-08,14,12,Sunday,1445,58,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-19,15,12,Thursday,1530,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-21,9,11,Thursday,0915,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-18,10,5,Saturday,1045,4,False
London Waterloo,Southampton Central,South Western Railway,2024-03-05,4,3,Tuesday,0430,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-11-12,20,11,Tuesday,2030,4,False
London Kings Cross,Leeds,LNER,2024-11-01,6,11,Friday,0630,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-27,19,2,Tuesday,1915,63,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-16,7,5,Thursday,0700,1,False
London Victoria,Gatwick Airport,Southern,2024-10-25,7,10,Friday,0715,1,False
London Victoria,Gatwick Airport,Southern,2024-06-07,7,6,Friday,0700,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-23,21,2,Friday,2100,35,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-26,6,3,Tuesday,0600,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-12,8,10,Saturday,0815,1,False
London Victoria,Gatwick Airport,Southern,2024-08-09,19,8,Friday,1945,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-27,13,2,Tuesday,1315,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-29,18,7,Monday,1815,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-22,11,10,Tuesday,1130,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-22,20,5,Wednesday,2000,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-12,21,8,Monday,2100,67,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-19,1,1,Friday,0115,2,False
London Kings Cross,Leeds,LNER,2024-06-07,7,6,Friday,0745,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-01-14,16,1,Sunday,1615,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-07-22,14,7,Monday,1400,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-03,7,3,Sunday,0730,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-14,16,1,Sunday,1615,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-25,6,6,Tuesday,0630,2,False
London Waterloo,Southampton Central,South Western Railway,2024-03-16,7,3,Saturday,0745,13,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-01,8,1,Monday,0845,2,False
London Waterloo,Southampton Central,South Western Railway,2024-04-25,6,4,Thursday,0645,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-22,5,7,Monday,0500,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-18,16,7,Thursday,1600,5,False
London Waterloo,Southampton Central,South Western Railway,2024-01-20,5,1,Saturday,0545,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-23,20,4,Tuesday,2015,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-28,18,12,Saturday,1830,14,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-14,6,5,Tuesday,0615,0,False
London Kings Cross,Leeds,LNER,2024-03-23,20,3,Saturday,2000,0,False
London Victoria,Gatwick Airport,Southern,2024-03-19,9,3,Tuesday,0915,5,False
London Kings Cross,Leeds,LNER,2024-06-30,10,6,Sunday,1045,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-09,17,7,Tuesday,1745,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-04,19,2,Sunday,1900,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-23,18,2,Friday,1800,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-03,16,3,Sunday,1630,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-07-16,7,7,Tuesday,0700,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-19,18,10,Saturday,1845,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-31,2,8,Saturday,0230,1,False
London Kings Cross,Leeds,LNER,2024-07-07,4,7,Sunday,0430,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-07,8,8,Wednesday,0800,0,False
London Waterloo,Southampton Central,South Western Railway,2024-08-18,14,8,Sunday,1430,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-10,8,1,Wednesday,0845,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-19,6,2,Monday,0600,14,False
London Waterloo,Southampton Central,South Western Railway,2024-08-08,20,8,Thursday,2045,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-19,15,1,Friday,1545,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-04-28,4,4,Sunday,0415,9,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-22,17,6,Saturday,1745,6,False
London Waterloo,Southampton Central,South Western Railway,2024-11-19,17,11,Tuesday,1730,6,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-07,7,6,Friday,0730,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-02,15,3,Saturday,1530,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-19,23,5,Sunday,2345,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-01,6,1,Monday,0645,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-07-24,8,7,Wednesday,0845,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-13,10,4,Saturday,1030,1,False
London Victoria,Gatwick Airport,Southern,2024-01-17,1,1,Wednesday,0115,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-20,15,1,Saturday,1545,5,False
London Kings Cross,Leeds,LNER,2024-08-13,4,8,Tuesday,0430,2,False
London Waterloo,Southampton Central,South Western Railway,2024-04-15,2,4,Monday,0230,0,False
London Kings Cross,Leeds,LNER,2024-06-28,6,6,Friday,0615,12,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-30,23,4,Tuesday,2330,11,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-09,10,11,Saturday,1030,6,False
London Victoria,Gatwick Airport,Southern,2024-05-14,19,5,Tuesday,1930,18,False
London Victoria,Gatwick Airport,Southern,2024-06-05,16,6,Wednesday,1645,3,False
London Waterloo,Southampton Central,South Western Railway,2024-12-27,21,12,Friday,2130,13,False
London Waterloo,Southampton Central,South Western Railway,2024-07-28,8,7,Sunday,0815,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-03,6,8,Saturday,0645,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-25,19,10,Friday,1930,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-07,3,3,Thursday,0315,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-16,8,6,Sunday,0830,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-21,12,6,Friday,1215,3,False
London Waterloo,Southampton Central,South Western Railway,2024-01-22,8,1,Monday,0845,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-08,7,11,Friday,0700,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-10,18,3,Sunday,1815,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-09-27,17,9,Friday,1745,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-11,21,10,Friday,2100,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-27,9,12,Friday,0930,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-23,4,4,Tuesday,0415,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-31,19,5,Friday,1915,1,False
London Kings Cross,Leeds,LNER,2024-05-07,7,5,Tuesday,0745,1,False
London Waterloo,Southampton Central,South Western Railway,2024-01-10,8,1,Wednesday,0845,9,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-15,1,1,Monday,0130,1,False
London Victoria,Gatwick Airport,Southern,2024-10-25,21,10,Friday,2115,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-26,3,5,Sunday,0330,8,False
London Waterloo,Southampton Central,South Western Railway,2024-01-30,7,1,Tuesday,0730,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-04,10,8,Sunday,1015,0,False
London Kings Cross,Leeds,LNER,2024-04-12,6,4,Friday,0615,0,False
London Kings Cross,Leeds,LNER,2024-03-09,9,3,Saturday,0900,0,False
London Waterloo,Southampton Central,South Western Railway,2024-04-22,7,4,Monday,0745,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-21,9,8,Wednesday,0900,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-10,8,6,Monday,0800,0,False
London Waterloo,Southampton Central,South Western Railway,2024-02-10,21,2,Saturday,2115,12,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-06,7,9,Friday,0700,3,False
London Kings Cross,Leeds,LNER,2024-03-06,14,3,Wednesday,1445,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-20,17,8,Tuesday,1715,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-30,11,1,Tuesday,1145,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-22,18,2,Thursday,1845,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-30,5,7,Tuesday,0515,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-26,14,4,Friday,1445,6,False
London Kings Cross,Leeds,LNER,2024-09-15,19,9,Sunday,1900,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-16,10,7,Tuesday,1030,3,False
London Kings Cross,Leeds,LNER,2024-09-05,8,9,Thursday,0815,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-21,6,2,Wednesday,0600,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-22,7,1,Monday,0730,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-20,19,8,Tuesday,1945,2,False
London Waterloo,Southampton Central,South Western Railway,2024-06-29,5,6,Saturday,0530,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-09,5,9,Monday,0515,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-07,7,5,Tuesday,0745,7,False
London Victoria,Gatwick Airport,Southern,2024-03-14,6,3,Thursday,0615,15,False
London Victoria,Gatwick Airport,Southern,2024-04-08,20,4,Monday,2000,6,False
London Waterloo,Southampton Central,South Western Railway,2024-05-30,8,5,Thursday,0800,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-02,15,11,Saturday,1530,80,False
London Kings Cross,Leeds,LNER,2024-07-10,16,7,Wednesday,1645,12,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-07,18,4,Sunday,1845,0,False
London Kings Cross,Leeds,LNER,2024-08-06,16,8,Tuesday,1615,12,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-29,8,4,Monday,0845,21,False
London Kings Cross,Leeds,LNER,2024-07-02,15,7,Tuesday,1500,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-12,6,2,Monday,0615,82,False
London Kings Cross,Leeds,LNER,2024-10-30,8,10,Wednesday,0800,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-22,7,1,Monday,0730,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-11,8,8,Sunday,0815,2,False
London Victoria,Gatwick Airport,Southern,2024-01-22,11,1,Monday,1100,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-26,17,11,Tuesday,1730,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-01,14,12,Sunday,1400,3,False
London Waterloo,Southampton Central,South Western Railway,2024-02-02,18,2,Friday,1800,15,False
London Kings Cross,Leeds,LNER,2024-07-09,18,7,Tuesday,1800,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-01,14,8,Thursday,1445,0,True
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-16,8,6,Sunday,0800,9,False
London Kings Cross,Leeds,LNER,2024-01-22,18,1,Monday,1815,11,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-22,13,11,Friday,1315,12,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-24,21,5,Friday,2145,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-07,7,3,Thursday,0715,15,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-01,4,4,Monday,0415,33,False
London Kings Cross,Leeds,LNER,2024-09-29,7,9,Sunday,0700,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-16,12,2,Friday,1245,2,False
London Victoria,Gatwick Airport,Southern,2024-02-19,16,2,Monday,1615,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-09,11,8,Friday,1100,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-03,9,1,Wednesday,0915,4,False
London Waterloo,Southampton Central,South Western Railway,2024-07-21,7,7,Sunday,0700,29,False
London Kings Cross,Leeds,LNER,2024-05-05,19,5,Sunday,1915,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-12-18,7,12,Wednesday,0745,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-18,10,8,Sunday,1045,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-26,7,4,Friday,0715,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-19,18,4,Friday,1845,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-19,21,11,Tuesday,2145,0,False
London Waterloo,Southampton Central,South Western Railway,2024-10-09,8,10,Wednesday,0800,30,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-12,20,4,Friday,2015,10,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-27,20,6,Thursday,2045,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-01,8,9,Sunday,0800,4,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-18,16,2,Sunday,1645,1,False
London Kings Cross,Leeds,LNER,2024-11-21,20,11,Thursday,2000,1,False
London Waterloo,Southampton Central,South Western Railway,2024-11-14,6,11,Thursday,0645,7,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-29,22,6,Saturday,2245,5,False
London Waterloo,Southampton Central,South Western Railway,2024-12-20,8,12,Friday,0845,0,False
London Kings Cross,Leeds,LNER,2024-07-11,9,7,Thursday,0945,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-11,8,3,Monday,0815,0,False
London Kings Cross,Leeds,LNER,2024-06-15,7,6,Saturday,0730,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-01,19,6,Saturday,1900,4,False
London Kings Cross,Leeds,LNER,2024-08-04,15,8,Sunday,1530,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-12,14,1,Friday,1445,1,False
London Victoria,Gatwick Airport,Southern,2024-06-29,17,6,Saturday,1730,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-07,18,11,Thursday,1830,10,False
London Victoria,Gatwick Airport,Southern,2024-09-22,21,9,Sunday,2130,19,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-24,23,2,Saturday,2330,0,False
London Victoria,Gatwick Airport,Southern,2024-06-10,0,6,Monday,0015,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-16,22,6,Sunday,2200,1,False
London Kings Cross,Leeds,LNER,2024-03-12,21,3,Tuesday,2100,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-05,7,10,Saturday,0730,5,False
London Waterloo,Southampton Central,South Western Railway,2024-10-11,19,10,Friday,1915,10,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-05,17,6,Wednesday,1715,12,False
London Victoria,Gatwick Airport,Southern,2024-10-10,9,10,Thursday,0915,80,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-01-01,7,1,Monday,0730,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-30,19,10,Wednesday,1930,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-05-29,5,5,Wednesday,0530,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-06,19,12,Friday,1930,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-10,16,1,Wednesday,1645,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-27,16,2,Tuesday,1615,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-28,8,4,Sunday,0830,1,False
London Kings Cross,Leeds,LNER,2024-07-20,12,7,Saturday,1230,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-25,8,3,Monday,0800,10,False
London Kings Cross,Leeds,LNER,2024-06-14,20,6,Friday,2045,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-04,21,4,Thursday,2115,0,True
London Waterloo,Southampton Central,South Western Railway,2024-11-21,16,11,Thursday,1630,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-02,20,9,Monday,2030,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-01,7,11,Friday,0745,0,False
London Waterloo,Southampton Central,South Western Railway,2024-04-25,8,4,Thursday,0845,0,False
London Victoria,Gatwick Airport,Southern,2024-06-27,7,6,Thursday,0715,8,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-07,10,5,Tuesday,1015,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-01,20,5,Wednesday,2015,12,False
London Kings Cross,Leeds,LNER,2024-05-18,14,5,Saturday,1415,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-15,7,6,Saturday,0730,2,False
London Kings Cross,Leeds,LNER,2024-02-21,10,2,Wednesday,1030,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-29,9,1,Monday,0900,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-02,5,11,Saturday,0545,5,False
London Waterloo,Southampton Central,South Western Railway,2024-11-22,7,11,Friday,0715,1,False
London Victoria,Gatwick Airport,Southern,2024-08-24,6,8,Saturday,0630,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-13,8,5,Monday,0815,8,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-16,7,1,Tuesday,0700,11,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-02,18,5,Thursday,1815,8,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-30,19,9,Monday,1900,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-10,0,4,Wednesday,0045,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-03,11,3,Sunday,1130,2,False
London Waterloo,Southampton Central,South Western Railway,2024-04-25,12,4,Thursday,1200,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-05,17,8,Monday,1715,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-02,11,9,Monday,1145,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-06-07,7,6,Friday,0745,0,False
London Victoria,Gatwick Airport,Southern,2024-11-18,18,11,Monday,1830,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-27,2,2,Tuesday,0230,7,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-16,17,12,Monday,1715,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-28,20,5,Tuesday,2015,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-01,16,6,Saturday,1645,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-08,9,9,Sunday,0930,11,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-30,2,10,Wednesday,0215,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-07,17,11,Thursday,1700,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-23,16,11,Saturday,1645,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-02,20,6,Sunday,2030,7,False
London Victoria,Gatwick Airport,Southern,2024-08-05,13,8,Monday,1315,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-12,7,2,Monday,0715,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-10,19,8,Saturday,1900,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-10,8,2,Saturday,0830,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-23,11,2,Friday,1100,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-26,7,10,Saturday,0730,8,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-02,18,10,Wednesday,1845,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-03-05,17,3,Tuesday,1700,1,False
London Waterloo,Southampton Central,South Western Railway,2024-01-06,8,1,Saturday,0815,2,False
London Victoria,Gatwick Airport,Southern,2024-11-26,19,11,Tuesday,1930,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-19,14,12,Thursday,1400,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-16,3,6,Sunday,0315,5,False
London Waterloo,Southampton Central,South Western Railway,2024-02-05,20,2,Monday,2045,0,False
London Kings Cross,Leeds,LNER,2024-02-10,7,2,Saturday,0730,2,False
London Waterloo,Southampton Central,South Western Railway,2024-06-29,8,6,Saturday,0800,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-08,4,8,Thursday,0430,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-11,8,7,Thursday,0845,14,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-07-13,8,7,Saturday,0845,1,False
London Kings Cross,Leeds,LNER,2024-05-02,12,5,Thursday,1215,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-28,9,11,Thursday,0900,1,False
London Kings Cross,Leeds,LNER,2024-02-12,9,2,Monday,0930,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-18,20,1,Thursday,2045,0,False
London Waterloo,Southampton Central,South Western Railway,2024-10-01,19,10,Tuesday,1930,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-01-20,7,1,Saturday,0700,13,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-14,12,3,Thursday,1215,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-14,16,5,Tuesday,1630,4,False
London Waterloo,Southampton Central,South Western Railway,2024-04-18,20,4,Thursday,2045,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-13,17,5,Monday,1700,7,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-10,13,11,Sunday,1330,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-27,8,12,Friday,0830,1,False
London Kings Cross,Leeds,LNER,2024-03-04,11,3,Monday,1115,75,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-24,18,2,Saturday,1830,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-05,21,6,Wednesday,2100,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-29,18,11,Friday,1815,0,False
London Victoria,Gatwick Airport,Southern,2024-08-18,0,8,Sunday,0030,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-27,7,6,Thursday,0745,9,False
London Kings Cross,Leeds,LNER,2024-03-09,9,3,Saturday,0915,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-29,20,4,Monday,2000,16,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-04,8,1,Thursday,0830,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-21,15,2,Wednesday,1515,1,False
London Waterloo,Southampton Central,South Western Railway,2024-11-25,4,11,Monday,0445,3,False
London Kings Cross,Leeds,LNER,2024-05-21,14,5,Tuesday,1445,84,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-21,10,10,Monday,1015,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-14,7,3,Thursday,0700,3,False
London Waterloo,Southampton Central,South Western Railway,2024-08-02,5,8,Friday,0500,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-20,17,2,Tuesday,1715,0,True
Edinburgh Waverley,Glasgow Central,LNER,2024-08-17,17,8,Saturday,1715,6,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-31,9,10,Thursday,0915,3,False
London Kings Cross,Leeds,LNER,2024-10-19,9,10,Saturday,0945,12,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-26,12,8,Monday,1230,0,False
London Waterloo,Southampton Central,South Western Railway,2024-06-19,21,6,Wednesday,2100,80,False
London Paddington,Cardiff Central,Great Western Railway,2024-04-07,18,4,Sunday,1800,3,False
